,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1987,44.35,58.11,58.87,64.45,,,47.7,38.46,37.64,,40.77,25.22,91.44,,69.94,62.77,100.33,45.23,54.95,54.54
1988,54.63,71.89,74.77,64.51,,82.9,71.9,62.38,52.08,,67.9,23.73,106.36,75.97,77.5,68.39,88.77,58.12,79.75,57.89
1989,56.05,65.82,55.87,63.14,67.83,72.77,54.98,51.83,59.6,,56.02,20.05,75.62,98.83,49.16,56.08,69.01,41.57,65.46,58.47
1990,35.15,65.5,57.69,58.69,55.67,101.42,48.07,41.91,76.21,,59.68,19.95,67.56,78.39,36.86,42.77,98.28,38.72,56.52,51.55
1991,39.07,88.4,86.56,75.31,53.08,155.51,73.8,54.9,87.82,71.65,86.2,37.91,80.55,132.51,42.92,61.97,99.87,63.9,82.09,66.95
1992,56.16,66.03,83.85,72.24,58.84,192.13,69.54,54.46,65.77,66.18,91.09,39.78,71.39,90.42,55.63,58.36,89.4,60.89,73.71,56.15
1993,64.18,72.15,88.89,75.78,75.35,166.86,71.24,60.5,58.36,71.04,113.52,54.57,70.82,86.64,56.42,60.1,97.59,59.84,65.06,47.31
1994,48.24,55.12,68.33,58.32,43.61,82.65,57.24,43.49,33.1,44.34,75.02,48.45,49.62,53.73,48.79,39.19,65.29,45.06,45.27,40.47
1995,52.19,60.04,74.94,57.99,45.35,62.32,73.51,48.61,68.39,50.24,78.78,44.82,55.72,61.07,52.4,38.26,75.13,45.14,53.26,47.12
1996,61.42,55.57,68.25,56.19,50.2,75.19,73.15,47.07,60.16,44.54,83.31,44.2,46.86,54.91,54.23,46.93,65.96,45.86,43.28,40.57
1997,57.94,52.27,59.4,48.2,44.89,57.8,55.78,37.6,46.94,40.34,71.23,47.2,34.99,52.38,50.34,48.65,48.31,37.21,37.44,37.45
1998,53.12,46.77,49.18,44.85,32.06,46.33,45.14,32.23,73.92,30.6,46.36,57.4,28.48,53.15,46.73,69.04,42.46,32.2,27.14,32.06
1999,56.89,41.82,34.61,48.11,35.6,29.02,36.89,30.96,81.0,24.16,34.71,62.32,29.17,64.81,71.75,75.16,33.21,32.35,24.8,29.63
2000,55.18,36.93,38.83,36.63,28.41,10.16,25.17,24.3,50.35,29.59,28.29,37.88,26.15,58.38,57.52,37.88,29.67,21.68,24.02,26.95
2001,68.26,40.05,42.36,38.02,24.93,14.36,25.97,33.08,63.72,29.63,28.29,49.41,28.26,69.77,60.1,52.08,34.58,28.47,26.24,36.38
2002,70.22,42.24,45.92,51.16,31.66,26.21,42.15,48.81,82.56,40.67,44.72,65.3,38.0,60.79,59.85,63.88,41.55,40.23,36.22,47.33
2003,71.29,50.1,74.5,54.69,49.36,44.97,59.38,91.9,96.33,113.15,60.75,78.48,51.4,57.54,87.64,85.54,55.7,67.2,47.68,62.41
2004,68.08,48.3,62.28,45.69,50.98,46.38,44.67,61.74,68.98,43.76,53.12,62.15,44.03,49.95,61.93,65.01,48.68,51.43,36.03,50.16
2005,50.71,41.02,47.38,42.13,46.54,47.25,47.97,61.82,62.07,36.74,44.95,59.43,46.71,38.99,51.6,61.53,35.28,44.65,35.79,44.89
2006,36.75,36.77,48.91,36.0,38.64,37.48,43.68,54.33,64.38,32.19,46.08,48.41,42.09,42.57,39.06,56.46,31.47,38.36,32.94,40.41
2007,40.43,33.66,49.74,35.06,36.36,34.78,42.67,51.11,53.37,30.82,45.48,50.13,40.76,39.86,35.54,45.87,30.74,39.24,29.4,36.86
2008,46.68,32.07,55.69,35.25,35.84,30.64,43.66,43.5,43.89,43.08,48.29,61.16,41.65,52.85,35.44,38.83,32.0,42.31,34.0,39.15
2009,147.41,63.42,121.92,65.66,75.07,75.64,83.85,79.83,120.87,159.23,107.97,103.04,96.43,82.37,98.6,98.46,64.96,81.11,55.77,76.12
2010,87.27,42.1,68.42,48.52,60.74,57.79,65.64,62.1,68.54,107.89,83.96,83.34,51.48,69.21,56.2,53.48,53.78,52.09,42.32,49.17
2011,75.86,47.29,78.77,44.76,46.72,52.83,70.58,53.61,60.64,98.03,99.49,89.26,54.46,69.87,55.01,54.11,69.72,45.27,41.61,50.77
2012,116.79,60.65,96.67,53.46,62.96,81.39,93.21,73.35,84.2,47.46,133.21,108.34,76.13,75.91,70.08,76.5,87.19,60.68,50.18,61.41
2013,95.69,55.16,61.84,52.88,53.12,73.93,81.65,64.57,76.19,68.46,106.34,94.03,64.54,62.29,69.77,67.27,84.3,53.45,44.64,58.88
2014,100.93,50.83,56.59,52.02,43.58,53.95,68.1,54.1,72.34,39.53,93.85,67.61,50.7,63.19,65.24,76.02,64.19,44.88,37.97,50.77
2015,107.87,52.94,52.53,50.38,39.69,47.78,67.28,54.31,78.45,41.2,87.54,68.91,46.42,59.93,81.83,77.26,61.74,44.5,38.06,54.74
2016,94.18,53.58,45.62,62.11,33.11,44.38,63.33,52.66,87.99,42.12,78.07,73.25,46.83,54.1,87.37,86.99,63.08,45.25,38.99,54.98
2017,83.13,50.94,43.74,52.06,35.78,44.82,61.15,59.14,92.35,46.91,89.23,73.61,46.27,55.43,70.36,87.87,64.96,45.57,40.9,54.03
2018,67.28,47.05,49.92,49.1,30.73,47.02,54.81,50.25,76.93,51.04,71.42,64.71,44.6,49.16,58.5,75.84,68.38,47.35,35.74,48.27
2019,88.35,54.34,69.09,62.61,35.57,50.69,63.53,65.65,94.52,66.38,89.23,83.15,51.86,52.81,64.5,92.09,83.12,52.63,42.71,64.12
