,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1987-01,-3.48,0.87,7.58,13.8,,,12.66,-4.14,0.54,,3.33,18.09,5.3,,9.6,11.32,16.28,-6.75,3.35,12.86
1987-02,-0.47,10.92,3.16,4.56,,,1.1,-5.81,12.76,,-4.12,0.43,-1.04,,4.62,13.18,1.06,14.21,-5.06,10.53
1987-03,-1.63,11.88,4.62,10.26,,,6.65,5.35,-4.53,,4.83,11.2,10.0,,8.18,-2.47,-7.87,5.94,3.85,5.8
1987-04,-0.5,4.12,8.39,-3.08,,,1.32,1.64,-1.82,,9.05,16.89,0.27,,9.34,8.31,-0.42,9.07,0.28,6.56
1987-05,-7.1,3.62,-4.63,0.37,,,-5.58,-3.16,10.85,,-11.85,-1.34,2.38,,0.79,9.51,2.18,-6.22,-4.32,4.79
1987-06,0.62,1.2,4.48,3.18,,,-6.28,6.22,9.05,,-1.29,-7.78,7.54,,3.31,1.69,6.98,2.16,4.82,3.79
1987-07,15.23,11.48,8.06,8.15,,,2.9,5.1,9.95,,-1.47,-3.05,4.06,,12.58,10.8,19.37,6.73,7.04,2.99
1987-08,-0.31,8.7,3.85,-0.28,,,5.63,3.8,4.47,,-6.61,11.96,0.13,,10.74,0.67,11.98,4.61,3.08,-2.23
1987-09,4.96,5.63,-4.66,-1.54,,,-6.14,-3.51,10.59,,1.97,-3.6,-2.71,,2.98,-1.8,1.17,3.91,2.2,5.81
1987-10,-9.99,-45.21,-19.2,-21.51,,,-19.29,-17.35,-43.22,,-12.28,-8.26,-18.38,,-27.15,-39.19,-22.55,-17.4,-19.13,-22.43
1987-11,1.8,8.64,0.14,-2.62,,,-0.38,-7.56,-3.11,,3.0,3.85,-7.23,,-17.5,0.65,7.12,-11.33,-3.84,-2.96
1987-12,6.54,4.97,10.53,7.54,,,0.4,2.65,8.51,,-3.89,1.58,8.92,,1.62,6.21,10.21,6.41,2.84,11.94
1988-01,-14.22,-6.16,-4.04,-0.39,,-3.91,-15.88,-12.48,2.94,,-10.21,4.79,-2.77,-5.97,-0.97,7.94,0.29,8.75,-7.08,-0.63
1988-02,0.81,1.52,23.33,6.17,,2.89,20.51,15.41,1.43,,7.32,7.69,5.27,-12.71,7.78,-2.37,4.56,2.68,6.47,-0.36
1988-03,4.33,17.81,2.8,5.03,,8.3,-5.65,1.4,6.3,,3.88,6.82,5.09,21.55,13.07,5.34,6.71,6.64,-1.2,5.27
1988-04,1.65,5.94,-4.9,1.3,,3.95,8.23,-2.47,3.0,,-2.47,0.91,2.07,2.16,2.56,5.49,-0.74,3.7,-1.19,3.39
1988-05,-5.08,16.05,-4.95,-3.25,,5.88,6.87,-0.87,-3.35,,-11.03,-4.07,-5.33,3.25,-6.39,2.05,0.32,3.0,-3.85,-2.45
1988-06,-1.82,-1.99,-0.15,7.69,,-0.47,1.31,-0.37,7.76,,5.72,-3.28,1.85,-3.45,1.42,9.13,-1.39,-5.83,1.73,-2.57
1988-07,2.26,5.08,-3.73,-1.22,,0.54,-3.52,-0.67,1.38,,2.59,3.94,1.5,4.18,-1.56,2.71,-3.21,2.33,-2.46,0.36
1988-08,2.9,-1.93,-2.07,-4.27,,-4.84,-2.35,0.08,-8.2,,-2.95,-7.91,-3.56,-9.11,-10.47,-8.77,-1.12,-4.79,-1.26,-6.42
1988-09,2.08,-3.37,10.04,2.07,,-4.62,9.93,7.05,0.25,,6.69,3.09,2.7,-3.01,4.4,-0.06,0.36,6.68,3.52,4.62
1988-10,11.31,7.29,6.95,2.93,,8.47,9.43,8.8,7.61,,12.22,5.89,7.04,4.38,5.31,4.21,7.31,7.68,8.81,6.94
1988-11,3.65,-0.81,4.21,-0.2,,7.75,3.21,0.28,1.88,,2.91,9.66,0.44,-3.53,7.63,0.16,3.08,3.87,2.52,1.75
1988-12,-2.91,-1.11,2.09,3.13,,-3.87,4.33,2.16,1.64,,-0.42,0.36,2.59,-3.9,11.82,3.94,-1.77,5.75,-0.77,-2.09
1989-01,-1.2,8.94,-1.58,8.28,-2.65,-1.8,1.33,-4.21,14.71,,-3.1,-0.59,0.72,4.27,12.32,9.9,1.65,3.19,-3.81,11.15
1989-02,6.24,-13.86,-1.22,-2.57,-1.17,3.61,-0.95,0.64,-1.28,,-1.92,1.82,0.4,-0.52,3.22,-0.43,-1.56,3.24,2.07,-1.76
1989-03,7.3,0.87,-0.93,1.36,0.94,5.77,0.96,-1.61,1.04,,1.67,-3.92,3.23,-1.14,8.45,4.09,0.59,2.56,-1.26,0.63
1989-04,9.35,0.74,3.55,2.0,6.23,3.68,4.6,4.82,3.78,,1.3,0.13,4.59,3.69,7.99,6.33,8.39,1.57,2.84,2.21
1989-05,-5.63,-2.56,-2.86,0.8,-3.72,3.01,-1.88,-2.96,-11.76,,-4.81,-5.05,-4.58,-8.31,-4.85,2.08,-1.51,-0.51,-5.56,-6.0
1989-06,12.31,0.67,0.19,2.46,12.28,-10.77,1.37,6.03,-17.11,,8.12,-4.42,3.58,2.49,-0.21,0.91,2.84,4.72,13.03,-0.04
1989-07,8.41,9.22,5.78,7.27,9.34,4.83,10.43,9.8,13.58,,11.16,13.1,9.31,5.0,4.85,6.32,3.05,11.83,11.71,14.37
1989-08,13.62,8.45,-1.6,1.45,-11.33,-7.1,-1.13,-1.38,-2.36,,2.5,-7.23,-2.39,27.28,-0.12,-3.05,0.61,-1.75,-1.53,-2.4
1989-09,14.08,0.27,9.28,-1.42,3.06,-5.43,7.34,5.59,10.44,,-0.31,7.26,4.43,-5.5,3.97,1.7,4.32,-1.88,1.83,0.37
1989-10,-6.28,-3.78,-4.71,-0.05,6.36,-3.32,-5.01,-5.15,-1.09,,-7.56,-3.48,-3.19,-7.54,-11.85,-3.68,-2.75,-6.02,-5.25,-8.96
1989-11,-1.56,-1.48,7.98,1.01,7.06,-5.73,6.54,9.97,1.07,,5.41,5.15,6.08,-0.57,7.58,5.32,2.58,-0.89,4.6,5.76
1989-12,23.09,4.59,5.4,1.87,7.64,6.53,10.95,18.38,3.15,,6.82,0.8,8.82,-2.92,12.64,8.05,0.34,10.97,3.13,9.34
1990-01,20.02,0.24,-3.4,-8.92,2.76,12.35,-5.71,3.14,-2.56,,-0.15,-5.87,-3.68,-3.17,10.36,3.93,-3.5,0.42,-0.01,1.11
1990-02,16.81,-6.87,-9.42,0.0,-0.69,-2.07,-2.71,-1.51,7.67,,-4.49,-10.02,-3.89,-7.77,6.84,1.98,-2.91,-5.56,-0.14,-3.05
1990-03,2.45,-1.91,10.45,1.0,5.34,-5.45,7.06,10.38,2.36,,5.43,-18.58,6.41,-4.76,1.57,-2.0,-2.92,-2.71,-1.92,-1.78
1990-04,-12.35,-6.42,-0.1,-7.34,-6.68,-8.21,5.51,-6.51,-0.77,,2.43,-0.17,-1.96,-1.68,-6.39,-8.1,7.81,1.34,-0.93,-6.27
1990-05,-2.49,8.89,3.05,6.9,4.78,2.26,1.26,0.75,6.6,,7.18,14.82,3.48,10.15,9.55,12.08,6.24,12.39,14.83,14.28
1990-06,9.97,4.14,1.12,-0.3,1.14,-3.12,-0.63,4.58,5.11,,3.15,-4.5,1.87,-0.45,-2.17,0.54,7.01,6.33,3.01,5.76
1990-07,14.29,5.77,6.29,2.04,8.03,4.38,1.68,8.24,5.91,,1.92,-0.53,5.26,4.92,13.1,6.27,5.78,5.01,2.61,4.93
1990-08,-15.44,-1.92,-10.55,-5.34,-8.24,-6.88,-13.22,-14.31,-10.34,,-15.12,-10.44,-8.51,-4.98,-4.74,-14.83,-14.74,-12.86,-11.08,-6.28
1990-09,-22.78,-5.37,-9.83,-4.73,-7.58,-16.55,-10.61,-16.68,-10.31,,-10.85,-16.53,-5.2,-10.69,-7.9,-15.61,-16.79,-22.15,-10.9,-8.54
1990-10,13.33,-9.2,8.54,-3.17,8.73,-0.12,10.59,12.92,8.38,,3.91,25.92,5.62,-9.64,-5.59,8.17,14.19,4.29,5.54,7.58
1990-11,0.35,-0.32,-2.42,2.73,-3.29,2.07,-0.63,1.79,-0.94,,-8.45,-12.2,0.75,-6.22,-2.01,-4.09,-1.4,-6.85,-2.27,4.88
1990-12,-0.71,-2.78,-0.48,4.01,-3.02,-3.71,-4.39,-2.8,2.35,,3.06,3.73,0.08,-9.23,-7.03,5.76,-1.42,3.34,0.98,-0.26
1991-01,-2.23,5.0,1.98,0.21,3.47,-1.98,4.75,1.93,7.58,-0.37,-2.33,2.98,1.06,7.13,-7.07,4.24,7.12,14.76,5.15,3.36
1991-02,13.14,6.97,10.85,6.92,8.84,9.43,8.41,5.78,9.99,17.52,13.27,11.68,5.88,8.5,10.34,13.27,10.75,9.7,5.0,8.15
1991-03,-9.11,1.56,-6.23,0.17,-9.22,6.23,-6.4,-12.07,5.25,-3.7,-7.8,-5.23,-3.21,-5.44,-6.06,1.06,-2.82,-4.34,-4.06,-4.97
