gvkey	date	permco
1690	200001	7
1690	200002	7
1690	200003	7
1690	200004	7
1690	200005	7
1690	200006	7
1690	200007	7
1690	200008	7
1690	200009	7
1690	200010	7
1690	200011	7
1690	200012	7
1690	200101	7
1690	200102	7
1690	200103	7
1690	200104	7
1690	200105	7
1690	200106	7
1690	200107	7
1690	200108	7
1690	200109	7
1690	200110	7
1690	200111	7
1690	200112	7
1690	200201	7
1690	200202	7
1690	200203	7
1690	200204	7
1690	200205	7
1690	200206	7
1690	200207	7
1690	200208	7
1690	200209	7
1690	200210	7
1690	200211	7
1690	200212	7
1690	200301	7
1690	200302	7
1690	200303	7
1690	200304	7
1690	200305	7
1690	200306	7
1690	200307	7
1690	200308	7
1690	200309	7
1690	200310	7
1690	200311	7
1690	200312	7
1690	200401	7
1690	200402	7
1690	200403	7
1690	200404	7
1690	200405	7
1690	200406	7
1690	200407	7
1690	200408	7
1690	200409	7
1690	200410	7
1690	200411	7
1690	200412	7
1690	200501	7
1690	200502	7
1690	200503	7
1690	200504	7
1690	200505	7
1690	200506	7
1690	200507	7
1690	200508	7
1690	200509	7
1690	200510	7
1690	200511	7
1690	200512	7
1690	200601	7
1690	200602	7
1690	200603	7
1690	200604	7
1690	200605	7
1690	200606	7
1690	200607	7
1690	200608	7
1690	200609	7
1690	200610	7
1690	200611	7
1690	200612	7
1690	200701	7
1690	200702	7
1690	200703	7
1690	200704	7
1690	200705	7
1690	200706	7
1690	200707	7
1690	200708	7
1690	200709	7
1690	200710	7
1690	200711	7
1690	200712	7
1690	200801	7
1690	200802	7
1690	200803	7
1690	200804	7
1690	200805	7
1690	200806	7
1690	200807	7
1690	200808	7
1690	200809	7
1690	200810	7
1690	200811	7
1690	200812	7
1690	200901	7
1690	200902	7
1690	200903	7
1690	200904	7
1690	200905	7
1690	200906	7
1690	200907	7
1690	200908	7
1690	200909	7
1690	200910	7
1690	200911	7
1690	200912	7
1690	201001	7
1690	201002	7
1690	201003	7
1690	201004	7
1690	201005	7
1690	201006	7
1690	201007	7
1690	201008	7
1690	201009	7
1690	201010	7
1690	201011	7
1690	201012	7
1690	201101	7
1690	201102	7
1690	201103	7
1690	201104	7
1690	201105	7
1690	201106	7
1690	201107	7
1690	201108	7
1690	201109	7
1690	201110	7
1690	201111	7
1690	201112	7
1690	201201	7
